epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.717,1.09897,0.63813,0.98376,0.91287,0.7721,0.86317,0.5781,1.05845,0.63864,1.02034,0.000539275,0.000539275,0.000539275
43,335.362,1.08102,0.62752,0.98187,0.90852,0.7963,0.87141,0.58065,1.04074,0.60717,0.99888,0.000511769,0.000511769,0.000511769
44,343.046,1.0878,0.62467,0.97195,0.87897,0.79288,0.86015,0.56339,1.11641,0.65257,1.0437,0.000484263,0.000484263,0.000484263
45,350.762,1.06918,0.61781,0.97228,0.93645,0.75964,0.86612,0.5721,1.06039,0.61545,1.01835,0.000456758,0.000456758,0.000456758
46,358.468,1.06468,0.59181,0.96627,0.85642,0.83612,0.87872,0.58886,1.045,0.6054,1.02125,0.000429253,0.000429253,0.000429253
47,366.217,1.06319,0.59528,0.97154,0.87872,0.8175,0.86675,0.58187,1.05072,0.5996,1.01032,0.000401747,0.000401747,0.000401747
48,373.87,1.05308,0.58919,0.97396,0.92075,0.77982,0.86682,0.58537,1.08361,0.55182,1.02346,0.000374242,0.000374242,0.000374242
49,381.521,1.05784,0.58867,0.9692,0.91682,0.78571,0.86015,0.58277,1.06235,0.56747,1.00935,0.000346736,0.000346736,0.000346736
50,389.07,1.04228,0.57985,0.96528,0.91063,0.7892,0.86392,0.58499,1.09722,0.53122,1.0191,0.000319231,0.000319231,0.000319231
51,398.479,1.0263,0.57561,0.969,0.91183,0.79072,0.85322,0.58522,1.06553,0.59529,1.00723,0.000291725,0.000291725,0.000291725
